sequence,frames,fps,total_time_sec,txt_path
monkey-17,2260,13.317058685548917,169.70714429999862,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CNN-SVM\tracking_results\CNN-SVM\monkey-17.txt
shark-2,3455,13.384074623838922,258.14261330000045,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CNN-SVM\tracking_results\CNN-SVM\shark-2.txt
shark-3,1000,14.322454122264642,69.8204366000009,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CNN-SVM\tracking_results\CNN-SVM\shark-3.txt
shark-5,1510,13.4833543967289,111.98993630000041,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CNN-SVM\tracking_results\CNN-SVM\shark-5.txt
shark-6,1238,11.934980570430039,103.72869840000021,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CNN-SVM\tracking_results\CNN-SVM\shark-6.txt
squirrel-8,1041,7.5257274910391825,138.32549760000074,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CNN-SVM\tracking_results\CNN-SVM\squirrel-8.txt
squirrel-11,1449,7.25196209028762,199.80799429999934,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CNN-SVM\tracking_results\CNN-SVM\squirrel-11.txt
squirrel-13,2000,7.250362824650323,275.8482641999999,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CNN-SVM\tracking_results\CNN-SVM\squirrel-13.txt
squirrel-19,1205,7.994335154400915,150.73173399999905,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CNN-SVM\tracking_results\CNN-SVM\squirrel-19.txt
volleyball-1,1309,8.19790173684221,159.6750049000002,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CNN-SVM\tracking_results\CNN-SVM\volleyball-1.txt
volleyball-13,2042,8.161318113401753,250.20468160000019,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CNN-SVM\tracking_results\CNN-SVM\volleyball-13.txt
volleyball-18,2606,13.72737379490669,189.83966189999956,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CNN-SVM\tracking_results\CNN-SVM\volleyball-18.txt
volleyball-19,1467,12.984756900014153,112.97862650000025,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CNN-SVM\tracking_results\CNN-SVM\volleyball-19.txt
