sequence_index,sequence,AUC,Precision,Norm_Precision,Success50,Success75,FPS,frames,total_time_sec
35,Ironman,55.29795319194291,78.3132553100586,63.25300931930542,66.86747074127197,19.879518449306488,37.695129062672024,166,4.403751999999999
36,Jogging_1,77.8703528939548,97.71987199783325,96.74267172813416,97.06840515136719,79.47883009910583,48.782782188532266,307,6.293203999999999
37,Jogging_2,77.3688400585684,98.69706630706787,98.37133288383484,98.69706630706787,74.59283471107483,47.91803175826086,307,6.406774
38,Jump,37.99040396189529,79.50819730758667,43.44262182712555,23.770491778850555,2.459016442298889,31.8574624016662,122,3.8295579999999996
39,Jumping,63.47557863920852,100.0,96.4856207370758,97.12460041046143,13.41852992773056,48.566331212448375,313,6.444794
40,Man,76.42879489060415,100.0,100.0,100.0,52.98507213592529,36.31706970031642,134,3.689725
41,Mhyang,78.45817078531557,100.0,98.85905981063843,100.0,64.29530382156372,63.96197104523133,1490,23.295092
42,Singer1,85.81307060380522,100.0,100.0,100.0,97.72079586982727,51.553341846244145,351,6.808482
43,Singer2,3.9306846679322582,3.5519126802682877,3.2786883413791656,3.82513664662838,2.7322404086589813,51.34699584299773,366,7.127972999999999
44,Skater,55.19791860626144,94.9999988079071,86.87499761581421,51.249998807907104,15.000000596046448,40.43914893789103,160,3.9565620000000004
45,Skater2,63.02104153232769,90.11494517326355,77.93103456497192,85.28735637664795,17.241379618644714,54.845201624830075,435,7.931414
46,Skating1,55.200802329742274,100.0,88.99999856948853,58.74999761581421,9.49999988079071,50.126035650889705,400,7.979885
47,Skating2_1,45.02595604825041,57.9281210899353,39.32346701622009,42.28329956531525,7.399576902389526,52.89174134037513,473,8.942795
48,Skating2_2,52.27132529970843,52.85412073135376,50.317126512527466,58.98520350456238,15.644820034503937,53.495083767872494,473,8.841934000000002
49,Skiing,47.784997314286535,100.0,82.71604776382446,51.851850748062134,18.518517911434174,26.780808013346768,81,3.0245539999999993
50,Soccer,18.25151734906555,23.72449040412903,21.683673560619354,22.193877398967743,15.306122601032257,49.287555923144616,392,7.953325999999999
51,Subway,70.37974542181111,100.0,88.57142925262451,100.0,28.00000011920929,39.360816329835544,175,4.446046
52,Surfer,70.5916810213262,100.0,96.54255509376526,99.7340440750122,25.531914830207825,51.56403595000702,376,7.291904000000001
53,Walking,74.7561561180383,100.0,99.51456189155579,99.75728392601013,46.35922312736511,51.61918223939297,412,7.981529000000001
54,Walking2,80.08443769799783,100.0,100.0,100.0,74.40000176429749,55.91219459501288,500,8.942593
55,Woman,57.96120080125004,100.0,94.807368516922,77.05192565917969,11.89279705286026,57.146357852981666,597,10.44686
